name,ra,dec,porb,fx_limit,fx,fx_max,pulse_period
XTE SMC144s,,, 61.200,,,, 144.1000
1H0103-762,17.3125,-74.74444,,,  2.3000,,
RX J0209.6-7427,32.405,-74.45333,,, 10.6000,,
RX J0032.9-7348,8.23375,-73.80528,,,  0.2000,,
AX J0042.0-7344,10.52,-73.74944,,,  0.0230,,
AX J0051.7-7341,12.98354,-73.69761,,,  0.0050,,
H 0053-739,13.65083,-73.67639,,<,  1.0000,50,   2.3700
AX J0101.4-7335,15.36583,-73.58333,,,  0.0200,,
RX J0050.7-7332,12.69542,-73.54667,,,  0.0030,,
RX J0049.5-7331,12.39042,-73.52361,,,  0.0530,,
RX J0117.6-7330,19.4225,-73.51361,,, 10.0000,,  22.0700
RX J0119.6-7330,19.9125,-73.50389,,,  0.0020,,
AX J0041.6-7326,10.40417,-73.44639,,,  0.0090,,
2U 0115-737,19.27292,-73.44222,  3.890,,  0.5000,57,   0.7100
AX J0057.4-7325,14.36167,-73.41722,,,  0.0100, 0.110, 101.4500
RX J0049.7-7323,12.425,-73.3875,394,,  0.0010, 2.000, 755.5000
EXO 0114.6-7361,18.99492,-73.35694,,,  0.0200, 0.050,
RX J0052.1-7319,13.05792,-73.32028,,,  0.0240, 4.700,  15.3000
XTE SMC46,12.75,-73.3,,~,  0.3600,,  46.4000
XTE J0111.2-7317,17.785,-73.27944,,, 95.7000,,  31.0294
RX J0050.7-7316,12.68625,-73.26806,  1.416,,  0.1600,, 323.0000
XTE J0050-732#1,12.5,-73.26667,189,,  0.0400,,  16.6000
XTE J0050-732#2,12.5,-73.26667,,,  0.3000,,  51.0000
RX J0045.6-7313,11.40792,-73.23167,,,  0.0130,,
RX J0047.3-7312,11.84758,-73.20758, 48.800,,  0.0200, 0.200, 263.6400
XTE J0119-731,19.9625,-73.19667,,,  0.6300,,   2.1700
RX J0049.2-7311,12.30767,-73.19353,,,  0.0400,,   9.1321
RX J0049.5-7310,12.37467,-73.18278, 91.500,,  0.0060, 0.030,
RX J0051.9-7311,12.96787,-73.17594, 67.000,,  1.2000,, 172.4000
RX J0050.9-7310,12.74,-73.16886,,,  0.0110, 0.050,
AX J0048.2-7309,12.06208,-73.1675,,,  0.0110,,
AX J0127.8-7307,21.95,-73.1275,,,  0.0800,,
RX J0041.2-7306,10.31833,-73.11139,,,,,
AX J0051.6-7302,12.91625,-73.04944,,,,,
AX J0049.5-7302,12.39667,-73.04639,,,  0.0005,,
RX J0048.5-7302,12.14375,-73.04167,,,  0.0100, 0.032,
RX J0051.9-7255,12.97583,-72.92667,,,  0.0060,,
AX J0120.7-7255,20.18542,-72.92028,,,  0.0200,,
AX J0120.0-7251,20.00417,-72.86278,,,  0.0200,,
AX J0049-729,12.26042,-72.84778,642,,  0.5000, 9.000,  74.6760
RX J0051.3-7250,12.83167,-72.84556,,,  0.0040,,
XTE SMC95,13.35,-72.82167,280,,  2.1000,,  95.0000
2E0051.1-7304,13.21833,-72.80833,,,  0.0020,,
AX J0113.0-7246,18.27292,-72.77361,,,  0.0080,,
AX J0054.8-7244,13.73283,-72.75292,261,,  0.0660,, 503.5000
XTE J0051-727,12.925,-72.75,,,  1.8000,, 293.9000
RX J0104.1-7243,16.03083,-72.73306,,,  0.0040,,
XTE J0103-728,15.85,-72.71667,,,  4.0000,,   6.8482
XTE J0055-727,13.85,-72.7, 34.800,,  2.8000,,  18.3700
XMMU J005517.9-723853,13.82683,-72.64772,,, 11.7000,, 701.6000
XTE J0052-725,13.03792,-72.63417,,,  0.3600,,  82.4000
XMMU J005615.2-723754,14.06333,-72.63167,,,  0.0050,,
AX J0107.2-7234,16.79542,-72.59333,,,  0.0020,,
RX J0051.8-7231,12.97083,-72.52917, 28.000,,  0.0100, 9.000,   8.9000
RX J0058.2-7231,14.54875,-72.51389, 59.720,,  0.0100, 0.046,
RX J0054.5-7228,13.63833,-72.46917,,,  0.1600,,
AX J0051.4-7227,12.85583,-72.45806,,,  0.0300,,
CXOU J005323.8-722715,13.34917,-72.45417,125,,  0.0100,, 138.0000
1WGA J0053.8-7226,13.47917,-72.44639,139,,  1.4000,,  46.6300
XTE Position A,13.475,-72.445,,,,,  89.0000
XTE J0055-724,13.73404,-72.441,123,,  1.0000,,  58.9690
RX J0105.7-7226,16.42333,-72.43806,,,  0.0020,,
2S 0050-727,13.03208,-72.43056, 45.100,<,  1.0000, 5.000,   7.7800
XMMU J005724.0-722357,14.35,-72.39917,,,  0.0040,,
AX J0101.8-7223,15.46833,-72.39333,,,  0.0200, 0.060,
1XMMU J005921.0-722317,14.83767,-72.38797,,,  0.0360,, 202.0000
XMMU J005605.2-722200,14.02183,-72.36692,,,  0.0040,, 140.1000
RX J0104.5-7221,16.14833,-72.36194,,,  0.0050,,
XTE J0052-723,13.0275,-72.34556,,,  5.6000,,   4.7800
XMMU J010030.2-722035,15.12596,-72.34308,,,  0.0030,,
CXOU J005736.2-721934,14.40083,-72.32611, 95.300,,  0.0060,, 564.8300
RX J0058.3-7216,14.58625,-72.27167,,,  0.0020,,
RX J0051.3-7216,12.7325,-72.23194, 88.400,,  2.6000,,  91.1000
CXOU J010036.9-721316,15.15383,-72.22119,,,  0.0005,,
AX J0105-722,16.29067,-72.19622, 11.090,,  0.1000,,   3.3430
RX J0101.3-7211,15.33542,-72.18833, 74.700,,  0.0200, 0.080, 455.0000
CXOU J005527.9-721058,13.86542,-72.18306,,,  0.0110,,  34.0800
RX J0103-722,15.80792,-72.15389,,,  0.0100, 0.130, 345.2000
CXOU J005750.3-720756,14.45958,-72.13222,,,  0.0300,, 152.1000
RX J0101.0-7206,15.25458,-72.11583,,,  0.1000,, 304.4900
XTE Position B,16.25,-72.106,,,,, 164.7000
RX J0106.2-7205,16.56292,-72.09028,,,  0.0050,,
RX J0100.2-7204,15.06742,-72.07939,,,  0.0020,,
RX J0101.6-7204,15.4065,-72.07186,,,  0.0030,,
RX J0105.9-7203,16.48075,-72.06331,,,  0.0070,,
RX J0057.8-7202,14.45167,-72.045,,,  0.1700,, 280.4000
RX J0103.6-7201,15.90654,-72.02589,,,  0.0300, 0.120,1323.2
RX J0052.9-7158,13.24667,-71.96611,200,,  3.8000,, 169.3000
RX J0057.9-7156,14.4875,-71.93889,,,  0.0060,,
RX J0059.2-7138,14.79708,-71.64583,,, 26.0000,,   2.7632
AX J0100.9-7120,15.24208,-71.33444,,,  0.0200,,
AX J0100.2-7110,15.05042,-71.17083,,,  0.0070,,
RX J0532.3-7107,83.09458,-71.12556,,,  0.0060,,
1SAX J0544.1-7100,86.02625,-71.01389,286,,  0.3600,,  96.0800
XMMU J053115.4-705350,82.81417,-70.89722,,,  0.0250,,
RX J0501.6-7034,75.34958,-70.55917,,,  0.0110,,
RX J0527.1-7005,81.78292,-70.08333,,,  0.0025,,
RX J0523.2-7004,80.81208,-70.07,,,  0.0020,,
RX J0529.4-6952,82.35792,-69.86972,,,  0.0025,,
3A 0540-697,84.91458,-69.74361,  4.220,,  3.0000,25,
RX J0541.4-6936,85.3425,-69.60806,,,  0.0005,,
RX J0520.5-6932,80.12625,-69.53444, 24.400,,123,,
RX J0516.0-6916,79.00042,-69.26917,,,  0.0700,,
RX J0546.8-6851,86.70125,-68.86306,,,  0.0100,,
RX J0507.6-6847,76.90792,-68.79694,,,  0.0900,,
RX J0541.5-6833,85.40458,-68.54222,,,  0.0015,,
XMMU J054134.7-682550,85.39458,-68.43056,,,  0.0100,,
RX J0456.9-6824,74.22542,-68.40972,,,  0.0026,,
RX J0512.6-6717,78.17417,-67.28972,,,  0.0083,,
RX J0535.0-6700,83.77458,-67.00444,241,,  0.0400,,
RX J0535.6-6651,83.92333,-66.86611,,,  0.0090,,
1A 0535-668,83.92167,-66.86444, 16.700,,180,,   0.0690
H 0544-665,86.065,-66.58306,,,  1.8000,,
RX J0502.9-6626,75.715,-66.44028,,,  5.7000,,   4.0635
2A 0532-664,83.19208,-66.3675,  1.400,<,  3.0000,60,  13.5000
RX J0524.2-6620,81.05292,-66.34722,,,  0.0078,,
RX J0457.2-6612,74.30167,-66.20278,,,  0.0030,,
RX J0531.2-6607,82.8075,-66.1175, 25.400,,  1.4000,,  13.7000
RX J0530.7-6606,82.6975,-66.10417,,,  0.0008,,
RX J0529.8-6556,82.45167,-65.9475,,,  0.1700,,  69.5000
RX J0527.3-6552,81.84875,-65.87639,,,  0.0065,,
RX J0532.5-6551,83.13583,-65.86133,,,  0.0300,,
XMMU J053011.2-655122,82.54417,-65.8575,,,  0.0060,, 272.0000
RX J0543.9-6539,85.99167,-65.66444,,,  0.0050,,
RX J0532.4-6535,83.10542,-65.58583,,,  0.0100,,
RX J0535.8-6530,83.97417,-65.50944,,,  0.5000,,
RX J0531.5-6518,82.90042,-65.30444,,,  0.0460,,
1H 0538-641,84.73458,-64.08417,  1.700,<,  1.7000,44,
